yearOfRegistration,Datasource,gender,ageBroad,majorityStatus,citizenship
2002,Case Management,Female,18--20,Adult,CO
2002,Case Management,Female,18--20,Adult,CO
2002,Case Management,Female,18--20,Adult,CO
2002,Case Management,Female,18--20,Adult,CO
2002,Case Management,Female,18--20,Adult,CO
2002,Case Management,Female,18--20,Adult,CO
2002,Case Management,Female,18--20,Adult,CO
2002,Case Management,Female,18--20,Adult,CO
2002,Case Management,Female,18--20,Adult,CO
2002,Case Management,Female,18--20,Adult,CO
2002,Case Management,Female,18--20,Adult,CO
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
