Age_group,Year,Sex,Count
0--8,2005,Male,72
9--17,2005,Male,248
18--20,2005,Male,12
21--23,2005,Male,0
24--26,2005,Male,13
27--29,2005,Male,0
30--38,2005,Male,32
39--47,2005,Male,35
48+,2005,Male,13
0--8,2006,Male,0
9--17,2006,Male,51
18--20,2006,Male,11
21--23,2006,Male,22
24--26,2006,Male,0
27--29,2006,Male,38
30--38,2006,Male,90
39--47,2006,Male,58
48+,2006,Male,19
0--8,2007,Male,53
9--17,2007,Male,145
18--20,2007,Male,11
21--23,2007,Male,18
24--26,2007,Male,16
27--29,2007,Male,14
30--38,2007,Male,58
39--47,2007,Male,30
48+,2007,Male,0
0--8,2008,Male,24
9--17,2008,Male,76
18--20,2008,Male,0
21--23,2008,Male,0
24--26,2008,Male,0
27--29,2008,Male,0
30--38,2008,Male,48
39--47,2008,Male,14
48+,2008,Male,0
0--8,2009,Male,37
9--17,2009,Male,24
18--20,2009,Male,0
21--23,2009,Male,0
24--26,2009,Male,0
27--29,2009,Male,0
30--38,2009,Male,15
39--47,2009,Male,0
48+,2009,Male,0
0--8,2010,Male,35
9--17,2010,Male,180
18--20,2010,Male,14
21--23,2010,Male,0
24--26,2010,Male,24
27--29,2010,Male,17
30--38,2010,Male,126
39--47,2010,Male,58
48+,2010,Male,11
0--8,2011,Male,36
9--17,2011,Male,49
18--20,2011,Male,12
21--23,2011,Male,24
24--26,2011,Male,26
27--29,2011,Male,45
30--38,2011,Male,169
39--47,2011,Male,140
48+,2011,Male,41
0--8,2012,Male,12
9--17,2012,Male,128
18--20,2012,Male,0
21--23,2012,Male,25
24--26,2012,Male,28
27--29,2012,Male,59
30--38,2012,Male,235
39--47,2012,Male,128
48+,2012,Male,49
0--8,2013,Male,73
9--17,2013,Male,152
18--20,2013,Male,18
21--23,2013,Male,58
24--26,2013,Male,56
27--29,2013,Male,79
30--38,2013,Male,217
39--47,2013,Male,140
48+,2013,Male,115
0--8,2014,Male,66
9--17,2014,Male,155
18--20,2014,Male,26
21--23,2014,Male,79
24--26,2014,Male,92
27--29,2014,Male,112
30--38,2014,Male,359
39--47,2014,Male,127
48+,2014,Male,54
0--8,2015,Male,93
9--17,2015,Male,102
18--20,2015,Male,43
21--23,2015,Male,116
24--26,2015,Male,176
27--29,2015,Male,191
30--38,2015,Male,587
39--47,2015,Male,293
48+,2015,Male,119
0--8,2016,Male,87
9--17,2016,Male,104
18--20,2016,Male,29
21--23,2016,Male,50
24--26,2016,Male,88
27--29,2016,Male,95
30--38,2016,Male,471
39--47,2016,Male,186
48+,2016,Male,108
0--8,2017,Male,59
9--17,2017,Male,151
18--20,2017,Male,15
21--23,2017,Male,62
24--26,2017,Male,97
27--29,2017,Male,102
30--38,2017,Male,368
39--47,2017,Male,191
48+,2017,Male,104
0--8,2018,Male,68
9--17,2018,Male,326
18--20,2018,Male,30
21--23,2018,Male,25
24--26,2018,Male,32
27--29,2018,Male,20
30--38,2018,Male,94
39--47,2018,Male,55
48+,2018,Male,62
0--8,2005,Female,0
9--17,2005,Female,199
18--20,2005,Female,254
21--23,2005,Female,216
24--26,2005,Female,117
27--29,2005,Female,13
30--38,2005,Female,88
39--47,2005,Female,15
48+,2005,Female,0
0--8,2006,Female,0
9--17,2006,Female,105
18--20,2006,Female,300
21--23,2006,Female,236
24--26,2006,Female,178
27--29,2006,Female,88
30--38,2006,Female,160
39--47,2006,Female,67
48+,2006,Female,0
0--8,2007,Female,39
9--17,2007,Female,119
18--20,2007,Female,214
21--23,2007,Female,282
24--26,2007,Female,109
27--29,2007,Female,85
30--38,2007,Female,188
39--47,2007,Female,36
48+,2007,Female,0
0--8,2008,Female,0
9--17,2008,Female,90
18--20,2008,Female,111
21--23,2008,Female,134
24--26,2008,Female,94
27--29,2008,Female,81
30--38,2008,Female,106
39--47,2008,Female,24
48+,2008,Female,0
0--8,2009,Female,37
9--17,2009,Female,48
18--20,2009,Female,63
21--23,2009,Female,108
24--26,2009,Female,133
27--29,2009,Female,50
30--38,2009,Female,61
39--47,2009,Female,11
48+,2009,Female,0
0--8,2010,Female,143
9--17,2010,Female,11
18--20,2010,Female,29
21--23,2010,Female,48
24--26,2010,Female,86
27--29,2010,Female,42
30--38,2010,Female,104
39--47,2010,Female,15
48+,2010,Female,0
0--8,2011,Female,28
9--17,2011,Female,135
18--20,2011,Female,130
21--23,2011,Female,110
24--26,2011,Female,100
27--29,2011,Female,46
30--38,2011,Female,139
39--47,2011,Female,46
48+,2011,Female,64
0--8,2012,Female,28
9--17,2012,Female,215
18--20,2012,Female,37
21--23,2012,Female,61
24--26,2012,Female,82
27--29,2012,Female,40
30--38,2012,Female,148
39--47,2012,Female,63
48+,2012,Female,29
0--8,2013,Female,64
9--17,2013,Female,204
18--20,2013,Female,81
21--23,2013,Female,69
24--26,2013,Female,60
27--29,2013,Female,74
30--38,2013,Female,178
39--47,2013,Female,89
48+,2013,Female,105
0--8,2014,Female,54
9--17,2014,Female,174
18--20,2014,Female,130
21--23,2014,Female,136
24--26,2014,Female,156
27--29,2014,Female,193
30--38,2014,Female,669
39--47,2014,Female,262
48+,2014,Female,156
0--8,2015,Female,101
9--17,2015,Female,852
18--20,2015,Female,358
21--23,2015,Female,297
24--26,2015,Female,186
27--29,2015,Female,180
30--38,2015,Female,355
39--47,2015,Female,105
48+,2015,Female,122
0--8,2016,Female,89
9--17,2016,Female,1316
18--20,2016,Female,616
21--23,2016,Female,435
24--26,2016,Female,398
27--29,2016,Female,225
30--38,2016,Female,535
39--47,2016,Female,159
48+,2016,Female,123
0--8,2017,Female,94
9--17,2017,Female,1518
18--20,2017,Female,697
21--23,2017,Female,542
24--26,2017,Female,446
27--29,2017,Female,356
30--38,2017,Female,759
39--47,2017,Female,261
48+,2017,Female,147
0--8,2018,Female,111
9--17,2018,Female,1707
18--20,2018,Female,680
21--23,2018,Female,540
24--26,2018,Female,368
27--29,2018,Female,285
30--38,2018,Female,627
39--47,2018,Female,213
48+,2018,Female,119
